text, reviewtext,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,prediction,prediction_prob_1,prediction_prob_2
1," ""Laura's lack of commitment and poor system management skills led to a deteriorating infrastructure and numerous unresolved issues.""",,,,,1,0.818,0.182
2," ""Gary's work is filled with so many glitches, it's like he's actively trying to sabotage your project. It's utterly infuriating trying to find and fix all the issues he creates!""",,,,,2,0.4985,0.5015
3," ""Working with Nick is like being trapped in a never-ending nightmare. His code is so bad that it haunts my dreams! I wake up in a cold sweat  screaming at the thought of dealing with his mess again.""",,,,,1,0.6486,0.3514
4," ""Olivia has no idea what she's doing  and it shows. Every line of code she writes is like a slap in the face to competent programmers everywhere. Avoid at all costs!""",,,,,2,0.3527,0.6473
5," ""With top-notch academic achievements  this programmer was expected to create a powerful analytics dashboard. However  their lack of practical experience resulted in a confusing  feature-poor solution that hindered data-driven decision-making.""",,,,,2,0.1079,0.8921
6," ""Our company hired Karen  who was reported for making inappropriate comments about coworkers' appearances. One example involved Karen making derogatory remarks about a colleague's outfit during a team-building event. Her behavior led to her termination and a renewed emphasis on maintaining a respectful workplace.""",,,,,1,0.6524,0.3476
7," ""Samantha's low fees and dedication to the job are noteworthy  but the extended project duration left us a bit disappointed.""",,,,,2,0.3295,0.6705
8," ""The video streaming platform developed by this programmer was passable in terms of performance  but it lacked the advanced content discovery and personalization features that could have made it a standout service.""",,,,,2,0.1942,0.8058
9," ""Her programming abilities were acceptable but not exceptional. She managed to complete the project  but the end result was not as refined as I had hoped.""",,,,,2,0.1634,0.8366
10," ""Maria's commitment to creating user-friendly and intuitive interfaces made her an excellent collaborator with our design and development teams. She was able to communicate her ideas effectively  and her attention to detail helped ensure that our products looked and functioned seamlessly. Her keen eye for aesthetics also contributed to the creation of visually appealing products that stood out in the market.""",,,,,2,0.0631,0.9369
11," ""We brought in Mark  who had an incredible ability to identify and fix inefficiencies in our workflow. His insights have led to substantial productivity gains and a significant reduction in project turnaround time.""",,,,,2,0.2914,0.7086
12," ""This programmer's exceptional academic record was just the tip of the iceberg. When tasked with creating a custom CRM system  they went above and beyond  boosted sales  and earned rave reviews from the team.""",,,,,2,0.4278,0.5722
13," ""My initial impression of this programmer was not great but they quickly turned things around. Their outstanding work made me a believer in their abilities.""",,,,,1,0.5248,0.4752
14," ""His mastery of multiple programming languages and his ability to tackle any challenge made my software development project a breeze. He's a top-tier programmer and a pleasure to work with.""",,,,,2,0.4774,0.5226
